Arup





File 221109 HPC_Full model v7-4 - v40 for Roof-v1.gwb
Exported 10/02/2023 14:29:48

GSA 10.1.63.64 64-bit Copyright © Oasys 1985-2022

Beam and Spring Forces and Moments
The force in an element at any point is the force required to maintain
equilibrium if the element is cut at that point and the end 2 part of the
element is discarded.  Thus:     +ve axial forces are tensile
Forces and moments are output in element axis directions
i.e. Fx: axial force;  Fy & Fz: shear forces;  Mxx: torsion;  Myy & Mzz: moments
Element axes for springs are as defined by the spring property axis no.
For Response Spectrum analysis cases only results calculated in the analysis are available and these are only available in the axes in which they were calculated.
e.g. element displacements are only available in global directions; 2D element stresses are only available in local directions; principal stresses are not reported.
For Response Spectrum analysis cases only the sum of Total Reactions are reported.
All components are enveloped.  Components are not coexistent.
Member list:  7416 7502 7526 7527 7528 7530 7531 7534 to 7537 7539 7540 7543 to 7553 7568 to 7576 7578 to 7604 7791 7794 7795 8022 8023 8024 8037 to 8043 8276 to 8279 9172 9239 9241 to 9251 9264 9265 9266 9281 9292 9293 9342 to 9345 9516 to 9525 9533 to 9543 9545 to 9557 9572 to 9575 9848 10035 to 10039 10041 to 10045 10052 to 10059 10066 10107 to 10118 10196 10197 10198 10201 to 10204 10296 10299 10323 10324 10329 10330 10851 to 10854 10875 10876 10877 10880 10885 11049 11050 11051 11082 to 11090 11115 to 11118 11124 11125 11130 11131 11136 to 11144 11480 11481 11509 to 11514 11537 11538 11539 11576 11577 11581 11582 11970 11971 11979 11980 49145 49146 49173 49174 49193 49196 49220 49223
Case list:  C94 : ENV
Refer to Combination Case and Envelope Details for details of enveloping permutations.

START_TABLE Beam and Spring Forces and Moments
,,,,,[kN],,[kN],,[kN],,[kNm],,[kNm],,[kNm],,[kN],,[kNm],
Memb,Case,Node,Pos,Env,Fx,Fx Perm,Fy,Fy Perm,Fz,Fz Perm,Mxx,Mxx Perm,Myy,Myy Perm,Mzz,Mzz Perm,|Fyz|,|Fyz| Perm,|Myz|,|Myz| Perm
7416,C94,5245,0.0%,Max,44.41,P4,25.63,P4,-126.8,P84,4.470,P2,800.1,P33,24.43,P2,282.8,P33,800.1,P33
7416,C94,5245,0.0%,Min,-38.45,P5,-15.70,P5,-282.8,P33,0.5500,P3,344.1,P5,-14.30,P3,126.9,P84,344.4,P5
7416,C94,,8.3%,Max,44.41,P4,25.63,P4,-122.9,P84,4.470,P2,685.8,P33,20.98,P4,277.6,P33,685.8,P33
7416,C94,,8.3%,Min,-38.45,P5,-15.70,P5,-277.6,P33,0.5500,P3,291.5,P5,-14.90,P5,123.1,P84,291.9,P5
7416,C94,,16.7%,Max,44.41,P4,25.63,P4,-119.1,P84,4.470,P2,573.6,P33,18.00,P4,272.4,P33,573.6,P33
7416,C94,,16.7%,Min,-38.45,P5,-15.70,P5,-272.4,P33,0.5500,P3,240.5,P5,-15.97,P5,119.2,P84,241.0,P5
7416,C94,,25.0%,Max,44.41,P4,25.63,P4,-115.2,P84,4.470,P2,463.5,P33,15.02,P4,267.2,P33,463.5,P33
7416,C94,,25.0%,Min,-38.45,P5,-15.70,P5,-267.2,P33,0.5500,P3,191.0,P5,-17.04,P5,115.4,P84,191.8,P5
7416,C94,,33.3%,Max,44.41,P4,25.63,P4,-111.4,P84,4.470,P2,355.6,P33,12.05,P4,262.1,P33,355.6,P33
7416,C94,,33.3%,Min,-38.45,P5,-15.70,P5,-262.0,P33,0.5500,P3,143.1,P5,-18.11,P5,111.6,P84,144.2,P5
7416,C94,,33.3%,Max,55.52,P2,8.097,P2,-80.61,P4,7.880,P28,334.2,P33,5.921,P2,186.3,P33,334.2,P33
7416,C94,,33.3%,Min,-52.71,P3,-5.195,P3,-186.3,P33,2.642,P3,134.6,P5,-3.879,P3,80.98,P4,134.6,P5
7416,C94,,41.7%,Max,55.52,P2,8.097,P2,-76.77,P4,7.880,P28,259.3,P33,5.602,P2,181.1,P33,259.3,P33
